# x	f(x)	F(x)	error
1.5795	-6.31238	-6.12532	-0.187059
1.581	-6.30471	-6.11772	-0.186989
1.5825	-6.29665	-6.10997	-0.186672
1.584	-6.28819	-6.10207	-0.186117
1.5855	-6.27934	-6.09401	-0.185331
1.587	-6.2701	-6.08577	-0.184322
1.5885	-6.26045	-6.07735	-0.1831
1.59	-6.25041	-6.06874	-0.181671
1.5915	-6.23997	-6.05993	-0.180043
1.593	-6.22913	-6.05091	-0.178225
1.5945	-6.21789	-6.04166	-0.176223
1.596	-6.20624	-6.03219	-0.174045
1.5975	-6.19418	-6.02249	-0.171698
1.599	-6.18172	-6.01253	-0.169189
1.6005	-6.16886	-6.00233	-0.166526
1.602	-6.15558	-5.99187	-0.163714
1.6035	-6.14189	-5.98113	-0.160761
1.605	-6.1278	-5.97012	-0.157674
1.6065	-6.11329	-5.95883	-0.154458
1.608	-6.09837	-5.94725	-0.151121
1.6095	-6.08303	-5.93536	-0.147667
1.611	-6.06728	-5.92318	-0.144105
1.6125	-6.05111	-5.91068	-0.140438
1.614	-6.03453	-5.89786	-0.136674
1.6155	-6.01753	-5.88471	-0.132817
1.617	-6.00011	-5.87123	-0.128874
1.6185	-5.98227	-5.85742	-0.12485
1.62	-5.96401	-5.84326	-0.120751
1.6215	-5.94533	-5.82875	-0.116581
1.623	-5.92623	-5.81388	-0.112346
1.6245	-5.9067	-5.79865	-0.108051
1.626	-5.88675	-5.78305	-0.1037
1.6275	-5.86638	-5.76708	-0.0992996
1.629	-5.84558	-5.75073	-0.0948532
1.6305	-5.82436	-5.734	-0.0903658
1.632	-5.80272	-5.71687	-0.0858418
1.6335	-5.78064	-5.69936	-0.0812858
1.635	-5.75814	-5.68144	-0.0767018
1.6365	-5.73522	-5.66312	-0.0720943
1.638	-5.71186	-5.6444	-0.0674673
1.6395	-5.68808	-5.62526	-0.0628247
1.641	-5.66388	-5.60571	-0.0581705
1.6425	-5.63924	-5.58573	-0.0535085
1.644	-5.61417	-5.56533	-0.0488424
1.6455	-5.58868	-5.5445	-0.0441758
1.647	-5.56276	-5.52325	-0.0395123
1.6485	-5.53641	-5.50155	-0.0348552
1.65	-5.50963	-5.47942	-0.0302079
1.6515	-5.48242	-5.45684	-0.0255738
1.653	-5.45478	-5.43382	-0.0209558
1.6545	-5.42671	-5.41035	-0.0163571
1.656	-5.39821	-5.38643	-0.0117807
1.6575	-5.36928	-5.36206	-0.00722951
1.659	-5.33993	-5.33722	-0.0027063
1.6605	-5.31014	-5.31193	0.00178617
1.662	-5.27993	-5.28618	0.00624527
1.6635	-5.24929	-5.25996	0.0106684
